RevDate,RUNKEY,RK,SRK,SLength,Length,FOTF,CAR1,CAR2,CAR3,CAR4,CAR5,CAR6,CAR7,CAR8,CAR9,CAR10,Id
20AUG2022,577/12:48:53-319,141,22877-46590-319-2,10,10,0,394,1628,1614,1711,1853,1745,1532,1624,1687,1233,156
20AUG2022,577/14:28:42-319,185,22877-52200-319-1,10,10,0,394,1628,1614,1711,1853,1745,1532,1624,1687,1233,157
20AUG2022,577/16: 2:59-319,232,22877-58350-319-2,10,10,0,394,1628,1614,1711,1853,1745,1532,1624,1687,1233,158
20AUG2022,577/17:43: 2-319,277,22877-64128-319-1,10,10,0,394,1628,1614,1711,1853,1745,1532,1624,1687,1233,159
20AUG2022,577/19:19:41-319,309,22877-69468-319-14,10,10,0,394,1628,1614,1711,1853,1745,1532,1624,1687,1233,160
20AUG2022,577/19:25:24-319,314,22877-69828-319-13,10,10,0,394,1628,1614,1711,1853,1745,1532,1624,1687,1233,161
20AUG2022,577/19:30:30-319,315,22877-70272-319-2,10,10,0,394,1628,1614,1711,1853,1745,1532,1624,1687,1233,162
20AUG2022,577/21: 7:24-719,48,577/21: 7:24-719,,10,0,394,1628,1614,1711,1853,1745,1532,1624,1687,1233,163
20AUG2022,578/ 6:22:10-203,412,22877-22782-203-4,8,8,1,3008,4209,4091,3052,3016,4211,4185,3155,,,164
20AUG2022,578/ 7:45:43-203,447,22877-27900-203-3,8,8,1,3008,4209,4091,3052,3016,4211,4185,3155,,,165
20AUG2022,579/ 6:26:43-317,413,22877-23100-317-2,10,9,0,357,1750,1744,1834,1667,1889,1626,1531,424,,166
20AUG2022,579/ 7:44:28-317,449,22877-28098-317-1,10,9,0,357,1750,1744,1834,1667,1889,1626,1531,424,,167
20AUG2022,579/ 9:17: 2-317,493,22877-33990-317-2,10,9,0,357,1750,1744,1834,1667,1889,1626,1531,424,,168
20AUG2022,579/10:59:10-317,87,22877-39600-317-1,10,9,0,357,1750,1744,1834,1667,1889,1626,1531,424,,169
20AUG2022,579/12:44:15-317,135,22877-45720-317-2,10,9,0,357,1750,1744,1834,1667,1889,1626,1531,424,,170
20AUG2022,579/14:14:56-317,181,22877-51498-317-1,10,9,0,357,1750,1744,1834,1667,1889,1626,1531,424,,171
20AUG2022,579/15:50:35-317,224,22877-57372-317-2,10,9,0,357,1750,1744,1834,1667,1889,1626,1531,424,,172
20AUG2022,579/17:26:55-317,270,22877-63060-317-1,10,9,0,357,1750,1744,1834,1667,1889,1626,1531,424,,173
20AUG2022,579/19: 7:41-317,308,22877-69192-317-2,10,9,0,357,1750,1744,1834,1667,1889,1626,1531,424,,174
20AUG2022,580/ 6:29:57-509,415,22877-23304-509-12,10,10,1,3135,4138,4197,4168,4118,4002,4126,4071,4186,3116,175
20AUG2022,580/ 7:34:27-509,448,22877-27906-509-11,10,10,1,3135,4138,4197,4168,4118,4002,4126,4071,4186,3116,176
20AUG2022,580/ 8:49:57-509,480,22877-32376-509-12,10,10,1,3135,4138,4197,4168,4118,4002,4126,4071,4186,3116,177
20AUG2022,580/10: 4:33-509,68,22877-36906-509-11,10,10,1,3135,4138,4197,4168,4118,4002,4126,4071,4186,3116,178
20AUG2022,580/11:24:21-509,100,22877-41376-509-12,10,10,1,3135,4138,4197,4168,4118,4002,4126,4071,4186,3116,179
20AUG2022,580/12:34:39-509,138,22877-45906-509-11,10,10,1,3135,4138,4197,4168,4118,4002,4126,4071,4186,3116,180
20AUG2022,580/13:51:43-509,170,22877-50376-509-12,10,10,1,3135,4138,4197,4168,4118,4002,4126,4071,4186,3116,181
20AUG2022,580/15: 4:30-509,207,22877-54906-509-11,10,10,1,3135,4138,4197,4168,4118,4002,4126,4071,4186,3116,182
20AUG2022,580/16:20:55-509,239,22877-59376-509-12,10,10,1,3135,4138,4197,4168,4118,4002,4126,4071,4186,3116,183
20AUG2022,580/17:34:35-509,276,22877-63906-509-11,10,10,1,3135,4138,4197,4168,4118,4002,4126,4071,4186,3116,184
20AUG2022,580/18:51:46-509,303,22877-68436-509-12,10,10,1,3135,4138,4197,4168,4118,4002,4126,4071,4186,3116,185
20AUG2022,580/20: 9:42-509,325,22877-72690-509-11,10,10,1,3135,4138,4197,4168,4118,4002,4126,4071,4186,3116,186
20AUG2022,580/21:17:27-509,343,22877-76650-509-12,10,10,1,3135,4138,4197,4168,4118,4002,4126,4071,4186,3116,187
20AUG2022,580/22:37:17-509,367,22877-81720-509-11,10,10,1,3135,4138,4197,4168,4118,4002,4126,4071,4186,3116,188
20AUG2022,580/23:47:27-509,384,22877-85650-509-12,10,10,1,3135,4138,4197,4168,4118,4002,4126,4071,4186,3116,189
20AUG2022,581/ 1: 1: 4-323,56,581/ 1: 1: 4-323,,10,1,3079,4160,4170,4009,3006,3130,4132,4025,4018,3049,190
20AUG2022,581/ 6:33:33-323,422,22877-24486-323-13,10,10,1,3079,4160,4170,4009,3006,3130,4132,4025,4018,3049,191
20AUG2022,581/ 6:53:33-323,426,22877-24930-323-2,10,10,1,3079,4160,4170,4009,3006,3130,4132,4025,4018,3049,192
20AUG2022,581/ 8:26:59-323,467,22877-30600-323-1,10,10,1,3079,4160,4170,4009,3006,3130,4132,4025,4018,3049,193
20AUG2022,581/10: 1:43-323,65,22877-36660-323-2,10,10,1,3079,4160,4170,4009,3006,3130,4132,4025,4018,3049,194
20AUG2022,581/11:51:28-323,111,22877-42498-323-1,10,10,1,3079,4160,4170,4009,3006,3130,4132,4025,4018,3049,195
20AUG2022,581/13:18:38-323,155,22877-48390-323-2,10,10,1,3079,4160,4170,4009,3006,3130,4132,4025,4018,3049,196
20AUG2022,581/14:56:56-323,198,22877-54000-323-1,10,10,1,3079,4160,4170,4009,3006,3130,4132,4025,4018,3049,197
20AUG2022,581/16:29:20-323,246,22877-60150-323-2,10,10,1,3079,4160,4170,4009,3006,3130,4132,4025,4018,3049,198
20AUG2022,581/18:11:24-323,290,22877-65928-323-1,10,10,1,3079,4160,4170,4009,3006,3130,4132,4025,4018,3049,199
20AUG2022,581/19:47:49-323,318,22877-71268-323-14,10,10,1,3079,4160,4170,4009,3006,3130,4132,4025,4018,3049,200
20AUG2022,581/19:53:37-323,321,22877-71616-323-13,10,10,1,3079,4160,4170,4009,3006,3130,4132,4025,4018,3049,201
20AUG2022,581/19:57:18-323,323,22877-72060-323-2,10,10,1,3079,4160,4170,4009,3006,3130,4132,4025,4018,3049,202
20AUG2022,581/21:33: 8-323,348,22877-77766-323-1,10,10,1,3079,4160,4170,4009,3006,3130,4132,4025,4018,3049,203
20AUG2022,581/23: 7:14-323,374,22877-83232-323-14,10,10,1,3079,4160,4170,4009,3006,3130,4132,4025,4018,3049,204
20AUG2022,581/23:12:51-323,378,22877-84240-323-13,10,10,1,3079,4160,4170,4009,3006,3130,4132,4025,4018,3049,205
20AUG2022,581/23:30:22-323,380,22877-84684-323-2,10,10,1,3079,4160,4170,4009,3006,3130,4132,4025,4018,3049,206
20AUG2022,582/ 6:31:44-403,416,22877-23442-403-7,10,10,1,3067,4020,4044,4104,4111,3156,3141,4123,4103,3069,207
20AUG2022,582/ 7:43: 7-403,446,22877-27786-403-13,10,10,1,3067,4020,4044,4104,4111,3156,3141,4123,4103,3069,208
20AUG2022,582/ 7:49:37-403,455,22877-28866-403-14,10,10,,,,,,,,,,,,209
20AUG2022,582/ 8: 6: 4-403,457,22877-29280-403-8,10,10,1,3067,4020,4044,4104,4111,3156,3141,4123,4103,3069,210
20AUG2022,583/ 6:34:12-505,420,22877-24306-505-11,10,10,0,377,1854,1707,1803,1811,1689,1588,1873,1521,328,211
20AUG2022,583/ 7:54:16-505,452,22877-28776-505-12,10,10,0,377,1854,1707,1803,1811,1689,1588,1873,1521,328,212
20AUG2022,583/ 9: 7: 6-505,490,22877-33306-505-11,10,10,0,377,1854,1707,1803,1811,1689,1588,1873,1521,328,213
20AUG2022,583/10:19:23-505,72,22877-37776-505-12,10,10,0,377,1854,1707,1803,1811,1689,1588,1873,1521,328,214
20AUG2022,583/11:34:16-505,110,22877-42306-505-11,10,10,0,377,1854,1707,1803,1811,1689,1588,1873,1521,328,215
20AUG2022,583/12:49:32-505,142,22877-46776-505-12,10,10,0,377,1854,1707,1803,1811,1689,1588,1873,1521,328,216
20AUG2022,583/14: 4:11-505,180,22877-51306-505-11,10,10,0,377,1854,1707,1803,1811,1689,1588,1873,1521,328,217
20AUG2022,583/15:19:31-505,211,22877-55776-505-12,10,10,0,377,1854,1707,1803,1811,1689,1588,1873,1521,328,218
20AUG2022,583/16:35:12-505,249,22877-60306-505-11,10,10,0,377,1854,1707,1803,1811,1689,1588,1873,1521,328,219
20AUG2022,583/17:52:30-505,280,22877-64776-505-12,10,10,0,377,1854,1707,1803,1811,1689,1588,1873,1521,328,220
20AUG2022,583/19: 5:52-505,306,22877-68820-505-11,10,10,0,377,1854,1707,1803,1811,1689,1588,1873,1521,328,221
20AUG2022,583/20:14:31-505,327,22877-73116-505-12,10,10,0,377,1854,1707,1803,1811,1689,1588,1873,1521,328,222
20AUG2022,583/21:24: 5-505,350,22877-78090-505-11,10,10,0,377,1854,1707,1803,1811,1689,1588,1873,1521,328,223
