Id,RevDate,RunKey,Route,SDispatch,SchedTrain,ActOrigin,ActDest,SchedOrigin,SchedDest,EOLDelay,TotalDelay,DelayCount,DelayCodes,PassDelay,PDelay,Locs,Exits,HPOT,LPOT,UPOT
150,15NOV2022,150,8,11:48,419,,,47,40,,,1,HL,,,W40,,,,
151,15NOV2022,151,5,11:49,115,43,34,43,34,42,,,,,,,120,,2,
152,15NOV2022,152,4,11:49,223,40,43,40,43,156,,,,,,,64,,4,2
153,15NOV2022,153,12,11:51,507,34,24,34,24,100,,,,,,,76,,4,
154,15NOV2022,154,13,11:54,423,47,48,47,48,28,,,,,,,7,,,
155,15NOV2022,155,14,11:56,421,48,47,48,47,-5,,,,,,,15,,3,2
156,15NOV2022,156,2,11:57,321,48,18,48,18,187,,1,ND,58,,C40,264,14,23,17
157,15NOV2022,157,7,11:58,409,40,47,40,47,153,,,,,,,193,,8,4
158,15NOV2022,158,11,11:58,517,24,34,24,34,77,,,,,,,93,,6,
159,15NOV2022,159,6,12:00,105,34,43,34,43,217,,,,,,,112,,5,
160,15NOV2022,160,1,12:00,309,18,48,18,48,394,389,1,LR,25,2.70138888888889,Y10,180,,33,28
161,15NOV2022,161,3,12:00,213,43,40,43,40,60,,,,,,,113,,9,3
162,15NOV2022,162,8,12:03,421,47,40,47,40,11,,,,,,,133,39,37,32
163,15NOV2022,163,4,12:04,201,40,43,40,43,245,,,,,,,74,,6,3
164,15NOV2022,164,5,12:04,117,43,34,43,34,37,,,,,,,130,,7,2
165,15NOV2022,165,12,12:06,509,34,24,34,24,144,,,,,,,136,5,6,
166,15NOV2022,166,13,12:09,401,47,48,47,48,202,,,,,,,6,,,
167,15NOV2022,167,14,12:11,423,48,47,48,47,13,,,,,,,3,,1,1
168,15NOV2022,168,2,12:12,323,48,18,48,18,166,,,,,,,217,,7,1
169,15NOV2022,169,7,12:13,411,40,47,40,47,153,,,,,,,122,,5,4
170,15NOV2022,170,11,12:13,519,24,34,24,34,54,,,,,,,85,,3,
171,15NOV2022,171,6,12:15,107,34,43,34,43,405,,1,ND,27,,A60,118,19,26,21
172,15NOV2022,172,1,12:15,311,18,48,18,48,92,,,,,,,235,,10,2
173,15NOV2022,173,3,12:15,215,43,40,43,40,236,334,1,AD,0.0580555555555556,,A90,189,30,42,40
174,15NOV2022,174,8,12:18,423,47,40,47,40,30,,,,,,,126,3,7,3
175,15NOV2022,175,5,12:19,119,43,34,43,34,814,,1,ND,31,,A60,69,25,30,23
176,15NOV2022,176,4,12:19,203,40,43,40,43,595,327,1,LR,11,1.00222222222222,S20,108,3,17,15
177,15NOV2022,177,12,12:21,511,34,24,34,24,263,,,,,,,87,,5,2
178,15NOV2022,178,13,12:24,403,47,48,47,48,144,,,,,,,2,,,
179,15NOV2022,179,14,12:26,401,48,47,48,47,8,,,,,,,2,,1,1
180,15NOV2022,180,2,12:27,325,48,18,48,18,36,,,,,,,223,,9,3
181,15NOV2022,181,7,12:28,413,40,47,40,47,-5,,,,,,,162,,4,
182,15NOV2022,182,11,12:28,501,24,34,24,34,81,,,,,,,90,,3,
