Id,RevDate,RunKey,PrevRunKey,PrevTrain,SchedTrain,ActTrain,Route,SchedOrigin,SchedDest,ActOrigin,ActDest,StartTime,EndTime,StartLoc,EndLoc,DelaySec,DelayCode,EOLDelay,PassDelay,NumPassDelayed,DelayGroup
1,15NOV2022,609,,,301,301,1,15,48,15,48,17273,17273,15,15,347,4,748,5.59055555555556,58,
2,15NOV2022,7,,,315,315,2,34,18,48,18,18099,18548,44,34,782,1,772,,,
3,15NOV2022,609,,,301,301,1,15,48,15,48,20621,20621,28,28,,8,748,,103,
4,15NOV2022,688,,,101,,6,8,43,,,23370,23370,8,8,,11,,,,
5,15NOV2022,616,,,317,317,2,48,18,48,18,22949,23436,17,18,355,1,438,0.8875,9,
6,15NOV2022,677,,,315,315,1,18,48,18,48,24901,25430,21,20,313,1,215,73.075,790,
7,15NOV2022,689,,,109,109,6,34,43,34,7,26683,26683,7,7,,10,,,8,
8,15NOV2022,742,,,105,105,5,43,34,43,34,26700,26700,43,43,,7,50,,,1
9,15NOV2022,742,,,105,105,5,43,34,43,34,26700,27619,43,42,673,1,50,5.98777777777778,34,1
10,15NOV2022,699,,,305,305,2,48,18,48,18,28191,28191,12,12,321,2,324,57.2941666666667,69,
11,15NOV2022,691,,,317,317,1,18,48,18,48,28434,29011,46,48,307,1,235,4.51972222222222,53,
12,15NOV2022,743,,,213,213,4,40,43,40,43,28835,29232,21,19,334,6,274,,0.0172222222222222,
13,15NOV2022,738,669,117,117,117,6,34,43,34,43,29418,29642,2,3,326,6,291,,0.0102777777777778,2
14,15NOV2022,737,671,501,501,501,11,24,34,24,34,28736,29283,2,1,336,6,352,,0.0788888888888889,2
15,15NOV2022,749,,,503,503,11,24,34,24,34,29470,29470,4,4,381,2,155,57.2941666666667,374,
16,15NOV2022,780,702,111,111,111,5,43,34,43,34,29490,29490,43,43,,7,663,,,3
17,15NOV2022,780,702,111,111,111,5,43,34,43,34,29490,30179,43,42,443,1,663,2.77277777777778,23,3
18,15NOV2022,724,,,419,419,7,40,47,40,47,29753,30456,45,46,505,1,556,9.31222222222222,68,
19,15NOV2022,786,,,405,,7,40,47,,,30504,30504,40,40,,11,,,,
20,15NOV2022,751,,,301,301,1,18,48,18,48,30649,31260,19,25,335,1,334,88.9361111111111,1010,5
21,15NOV2022,751,,,301,301,1,18,48,18,48,30649,30649,19,19,,8,334,,1010,5
22,15NOV2022,768,,,217,217,4,40,43,40,43,30491,30982,21,20,413,6,729,,0.0666666666666667,
23,15NOV2022,783,724,419,419,419,13,47,48,47,48,30985,30985,47,47,697,5,726,0.580833333333333,3,
24,15NOV2022,804,,,419,,8,47,40,,,31716,31716,47,47,,11,,,,4
25,15NOV2022,797,,,419,,14,48,47,,,31284,31284,48,48,,11,,,,4
26,15NOV2022,791,,,417,417,8,47,40,47,40,31197,31197,47,47,381,4,402,9.2075,87,4
27,15NOV2022,796,,,421,421,13,47,48,47,48,31455,31827,47,48,375,6,375,,0.03,4
28,15NOV2022,784,,,417,417,14,48,47,48,47,30413,31120,48,47,473,1,502,0.919722222222222,7,4
29,15NOV2022,780,702,111,111,111,5,43,34,43,34,30881,31424,41,9,387,6,663,,0.015,
30,15NOV2022,785,,,319,319,2,48,18,48,18,32630,32630,27,27,326,3,199,14.0911111111111,400,6
31,15NOV2022,795,,,501,501,12,34,24,34,24,32192,32606,27,26,312,1,432,4.26916666666667,47,6
32,15NOV2022,788,,,101,101,6,34,43,34,43,32504,32504,26,26,505,2,597,57.2941666666667,53,6
33,15NOV2022,815,,,213,213,3,43,40,43,41,32658,32658,41,41,,10,,,2,7
34,15NOV2022,755,,,215,215,4,40,43,40,41,32607,32607,41,41,,10,,,12,7
35,15NOV2022,763,,,121,121,6,34,43,34,9,32644,32644,9,9,,10,,,15,
36,15NOV2022,840,,,217,217,3,43,40,43,40,34795,34795,43,43,541,4,315,1.65305555555556,11,8
37,15NOV2022,768,,,217,217,4,40,43,40,43,33274,34503,9,42,415,6,729,,0.0558333333333333,8
38,15NOV2022,781,,,219,219,4,40,43,40,43,33772,34471,9,41,303,1,330,2.13888888888889,25,8
39,15NOV2022,830,,,119,119,5,43,34,43,34,33870,33870,42,42,334,2,145,57.2941666666667,34,8
40,15NOV2022,819,,,117,117,5,43,34,43,34,33196,33196,42,42,,8,549,,26,8
41,15NOV2022,805,,,115,115,5,43,34,43,34,33044,33044,9,9,124,2,181,57.2941666666667,32,8
42,15NOV2022,111,842,121,121,121,6,34,43,34,43,39930,39930,34,34,330,5,301,1.19166666666667,13,8
43,15NOV2022,87,819,117,117,117,6,34,43,34,43,38322,38322,34,34,522,5,294,0.87,6,8
44,15NOV2022,828,,,215,215,3,43,40,43,40,33047,33047,43,43,,7,80,,,9
45,15NOV2022,828,,,215,215,3,43,40,43,40,33047,33709,43,42,410,1,80,1.13888888888889,10,9
46,15NOV2022,842,,,121,121,5,43,34,43,34,33640,33640,43,43,,7,43,,,10
47,15NOV2022,842,,,121,121,5,43,34,43,34,33640,34780,43,42,894,1,43,3.44944444444444,14,10
48,15NOV2022,800,,,511,511,11,24,34,24,34,34157,34673,25,26,313,6,435,,0.0305555555555556,11
49,15NOV2022,780,702,111,111,111,5,43,34,43,34,34046,34566,25,26,351,6,663,,0.0305555555555556,11
50,15NOV2022,845,,,405,,13,47,48,,,34788,34788,47,47,,11,,,,
51,15NOV2022,793,714,113,113,113,5,43,34,43,30,35259,35259,30,30,,10,,,21,
52,15NOV2022,850,,,111,111,6,34,43,31,43,35765,35765,31,31,,9,-39,,30,12
53,15NOV2022,802,,,309,309,1,18,48,18,48,35898,35898,31,31,333,3,361,7.59027777777778,166,12
54,15NOV2022,859,,,405,,14,48,47,,,35784,35784,48,48,,11,,,,
55,15NOV2022,857,,,511,511,12,34,24,34,24,35811,35811,34,34,321,4,219,1.24833333333333,14,
56,15NOV2022,812,,,513,513,11,24,34,24,34,35876,35876,30,30,340,2,346,57.2941666666667,23,
57,15NOV2022,847,,,303,303,2,48,18,48,18,36176,36176,34,34,330,3,392,6.35,141,
58,15NOV2022,65,,,405,,8,47,40,,,36216,36216,47,47,,11,,,,
59,15NOV2022,855,,,123,123,5,43,34,43,34,35461,36404,43,41,326,6,258,,0.0419444444444444,
60,15NOV2022,73,,,419,,7,40,47,,,36804,36804,40,40,,11,,,,
61,15NOV2022,99,830,119,119,119,6,34,43,34,43,39114,39114,34,34,414,4,299,0.23,2,
62,15NOV2022,860,,,305,305,2,48,18,48,17,39380,39380,21,21,506,2,,57.2941666666667,58,
63,15NOV2022,109,841,401,401,401,7,40,47,40,47,39861,39861,40,40,357,4,65,1.4875,15,
64,15NOV2022,863,,,501,501,11,24,34,24,34,39560,40102,33,34,314,1,352,0.610555555555556,7,13
65,15NOV2022,130,,,419,,13,47,48,,,41088,41088,47,47,,11,,,,
66,15NOV2022,71,789,307,307,307,2,48,18,48,16,41504,41504,16,16,,10,,,1,
67,15NOV2022,860,,,305,305,2,48,18,48,17,41578,41578,17,17,,10,,,16,
