Id,RevDate,RunKey,Route,SDispatch,SchedTrain,ActOrigin,ActDest,SchedOrigin,SchedDest,EOLDelay,TotalDelay,DelayCount,DelayCodes,PassDelay,PDelay,Locs,Exits,HPOT,LPOT,UPOT
172,13NOV2022,172,1,15:00,323,C88,C60,18,15,-1,,,"",,,"",7,,,
173,13NOV2022,173,5,15:02,105,S50,M90,43,34,34,,,"",,,"",192,,7,3
174,13NOV2022,174,6,15:02,111,M90,S50,34,43,-5,,,"",,,"",208,,4,1
175,13NOV2022,175,7,15:02,407,R60,W40,40,47,98,,,"",,,"",268,,14,
176,13NOV2022,176,14,15:03,401,Y10,W40,48,47,-78,,,"",,,"",9,,,2
177,13NOV2022,177,11,15:07,503,L30,M90,24,34,11,,,"",,,"",246,,1,
178,13NOV2022,178,8,15:10,401,W40,R60,47,40,26,,,"",,,"",297,7,8,4
179,13NOV2022,179,2,15:11,321,C60,C88,15,18,18,,,"",,,"",5,,,
180,13NOV2022,180,13,15:14,403,W40,Y10,47,48,55,,,"",,,"",4,,,
181,13NOV2022,181,12,15:14,509,M90,L30,34,24,68,,,"",,,"",167,1,11,1
182,13NOV2022,182,3,15:15,209,S50,R60,43,40,89,,,"",,,"",212,,8,2
183,13NOV2022,183,1,15:17,307,C50,Y10,14,48,65,,,"",,,"",319,2,6,
184,13NOV2022,184,4,15:19,203,R60,S50,40,43,141,,,"",,,"",179,,4,4
185,13NOV2022,185,2,15:27,301,Y10,C50,48,14,123,,,"",,,"",446,,5,10
186,13NOV2022,186,1,15:30,321,C88,C60,18,15,15,,,"",,,"",3,,,
187,13NOV2022,187,5,15:32,107,S50,M90,43,34,285,340,1,AD,0.0961111111111111,,A70 A60,135,26,47,45
188,13NOV2022,188,6,15:32,101,M90,S50,34,43,108,,,"",,,"",247,,6,1
189,13NOV2022,189,7,15:32,411,R60,W40,40,47,225,,,"",,,"",333,100,94,86
190,13NOV2022,190,14,15:33,403,Y10,W40,48,47,-3,,,"",,,"",14,,1,1
