Id,RevDate,RUNKEY,RK,SRK,SLength,Length,FOTF,CAR1,CAR2,CAR3,CAR4,CAR5,CAR6,CAR7,CAR8,CAR9,CAR10
354,13NOV2022,441/15:59:50-413,203,22962-57762-413-7,10,10,1,3061,4113,4224,4065,3043,3139,4112,4165,4015,3011
355,13NOV2022,441/17:14: 7-413,236,22962-62046-413-13,10,10,1,3061,4113,4224,4065,3043,3139,4112,4165,4015,3011
356,13NOV2022,441/17:20: 0-413,247,22962-63234-413-14,10,10,,,,,,,,,,,
357,13NOV2022,441/17:36:58-413,249,22962-63606-413-8,10,10,1,3061,4113,4224,4065,3043,3139,4112,4165,4015,3011
358,13NOV2022,442/16: 4:20-321,207,22962-58260-321-2,10,10,,,,,,,,,,,
359,13NOV2022,442/16:23:18-321,214,22962-59442-321-1,10,10,,,,,,,,,,,
360,13NOV2022,443/16:17:13-207,212,22962-58764-207-4,8,8,0,1210,1804,1580,1718,1565,1811,1595,1206,,
361,13NOV2022,443/17:45:50-207,253,22962-63954-207-3,8,8,0,1210,1804,1580,1718,1565,1811,1595,1206,,
362,13NOV2022,444/16:31:52-401,217,22962-59562-401-7,10,10,0,1226,1660,1902,1525,1645,1851,1611,1506,1746,1232
363,13NOV2022,444/17:46:47-401,251,22962-63846-401-13,10,10,0,1226,1660,1902,1525,1645,1851,1611,1506,1746,1232
364,13NOV2022,444/17:54: 5-401,261,22962-65034-401-14,10,10,,,,,,,,,,,
365,13NOV2022,444/18: 7:58-401,263,22962-65406-401-8,10,10,0,1226,1660,1902,1525,1645,1851,1611,1506,1746,1232
366,13NOV2022,446/16:37:38-323,221,22962-60060-323-2,10,10,,,,,,,,,,,
367,13NOV2022,446/16:52:56-323,228,22962-61242-323-1,10,10,,,,,,,,,,,
368,13NOV2022,447/16:42:52-209,226,22962-60564-209-4,8,8,0,376,1906,1858,1682,1829,1539,1586,1245,,
369,13NOV2022,448/17: 8:22-950,19,448/17: 8:22-950,,10,,,,,,,,,,,
370,13NOV2022,449/16:57: 6-975,18,449/16:57: 6-975,,8,1,3008,4209,4200,4085,3133,4063,4084,3054,,
371,13NOV2022,450/17: 1:32-403,231,22962-61362-403-7,10,10,1,3080,4183,4020,3012,3085,4122,4048,4060,4114,3097
372,13NOV2022,450/18:15:54-403,265,22962-65646-403-13,10,10,1,3080,4183,4020,3012,3085,4122,4048,4060,4114,3097
373,13NOV2022,450/18:22:33-403,275,22962-66834-403-14,10,10,,,,,,,,,,,
374,13NOV2022,450/18:37:31-403,277,22962-67206-403-8,10,10,1,3080,4183,4020,3012,3085,4122,4048,4060,4114,3097
375,13NOV2022,451/17: 3:43-321,235,22962-61860-321-2,10,10,,,,,,,,,,,
376,13NOV2022,451/17:24: 1-321,243,22962-63042-321-1,10,10,,,,,,,,,,,
377,13NOV2022,455/17:19:11-211,241,22962-62364-211-4,8,8,1,3131,4082,4091,4211,4083,4148,4222,3058,,
378,13NOV2022,455/18:42:39-211,281,22962-67554-211-3,8,8,1,3131,4082,4091,4211,4083,4148,4222,3058,,
379,13NOV2022,456/17:29:60-405,246,22962-63162-405-7,10,10,0,1254,1505,1533,1636,1767,1661,1619,1515,1655,1229
380,13NOV2022,456/18:46:50-405,279,22962-67446-405-13,10,10,0,1254,1505,1533,1636,1767,1661,1619,1515,1655,1229
381,13NOV2022,456/18:51:19-405,287,22962-68574-405-14,10,10,,,,,,,,,,,
382,13NOV2022,456/19: 9:16-405,288,22962-69006-405-8,10,10,0,1254,1505,1533,1636,1767,1661,1619,1515,1655,1229
383,13NOV2022,457/ 0: 3: 9-509,390,22962-87216-509-11,10,9,1,3110,4076,4237,4204,3055,3148,4001,4067,3147,
384,13NOV2022,457/17:36:10-509,252,22962-63870-509-12,10,9,1,3110,4076,4237,4204,3055,3148,4001,4067,3147,
385,13NOV2022,457/18:49:33-509,295,22962-69756-509-11,10,9,1,3110,4076,4237,4204,3055,3148,4001,4067,3147,
386,13NOV2022,457/20:29:50-509,318,22962-73890-509-12,10,9,1,3110,4076,4237,4204,3055,3148,4001,4067,3147,
387,13NOV2022,457/21:35:50-509,345,22962-78816-509-11,10,9,1,3110,4076,4237,4204,3055,3148,4001,4067,3147,
388,13NOV2022,457/22:57:13-509,367,22962-82812-509-12,10,9,1,3110,4076,4237,4204,3055,3148,4001,4067,3147,
389,13NOV2022,460/17:35:18-323,250,22962-63660-323-2,10,10,,,,,,,,,,,
390,13NOV2022,460/17:53:24-323,257,22962-64842-323-1,10,10,,,,,,,,,,,
391,13NOV2022,462/17:50: 7-201,255,22962-64164-201-4,8,8,0,1231,1883,1710,1716,1688,1715,1722,1260,,
392,13NOV2022,462/19:24:26-201,291,22962-69354-201-3,8,8,0,1231,1883,1710,1716,1688,1715,1722,1260,,
393,13NOV2022,463/18: 1: 1-407,260,22962-64962-407-7,10,10,0,1212,1705,1642,1827,1575,1845,1639,1602,1554,350
394,13NOV2022,463/19:16:30-407,290,22962-69246-407-13,10,10,0,1212,1705,1642,1827,1575,1845,1639,1602,1554,350
395,13NOV2022,463/19:21:46-407,298,22962-70374-407-14,10,10,,,,,,,,,,,
396,13NOV2022,463/19:37:42-407,299,22962-70806-407-8,10,10,0,1212,1705,1642,1827,1575,1845,1639,1602,1554,350
397,13NOV2022,464/18: 3:23-321,264,22962-65460-321-2,10,10,,,,,,,,,,,
398,13NOV2022,464/18:24:27-321,271,22962-66642-321-1,10,10,,,,,,,,,,,
399,13NOV2022,466/18:17:53-203,269,22962-65964-203-4,8,8,1,3008,4209,4200,4085,3133,4063,4084,3054,,
400,13NOV2022,466/19:45: 7-203,302,22962-71250-203-3,8,8,1,3008,4209,4200,4085,3133,4063,4084,3054,,
401,13NOV2022,469/18:30:56-411,274,22962-66762-411-7,10,10,0,1275,1634,1701,1813,1510,1532,1678,1612,1637,1253
